Team,is_home,score_for,score_against,KI,MK,HB,DI,GL,BH,HO,TK,RB,IF,CL,CG,FF,FA,BR,CP,UP,CM,MI,1%,BO,GA,%P,match_url,season
Sydney,0,121,58,685.0,295.0,398.0,1083.0,45.0,30.0,93.0,159.0,85.0,159.0,97.0,166.0,59.0,58.0,12.0,407.0,672.0,27.0,36.0,133.0,13.0,31.0,1800.0,https://afltables.com/afl/stats/games/2022/161820220415.html,2022
St Kilda,1,87,61,685.0,324.0,438.0,1123.0,35.0,25.0,91.0,153.0,131.0,162.0,108.0,159.0,51.0,48.0,11.0,396.0,711.0,36.0,33.0,172.0,22.0,29.0,1801.0,https://afltables.com/afl/stats/games/2022/152020220416.html,2022
Gold Coast,0,61,87,659.0,324.0,396.0,1055.0,31.0,23.0,101.0,144.0,124.0,165.0,90.0,156.0,48.0,51.0,7.0,378.0,666.0,36.0,33.0,158.0,23.0,25.0,1800.0,https://afltables.com/afl/stats/games/2022/152020220416.html,2022
Adelaide,1,101,82,615.0,242.0,484.0,1099.0,42.0,32.0,99.0,136.0,132.0,163.0,106.0,162.0,79.0,59.0,12.0,423.0,657.0,40.0,30.0,151.0,10.0,30.0,1801.0,https://afltables.com/afl/stats/games/2022/011420220416.html,2022
Richmond,0,82,101,594.0,241.0,485.0,1079.0,39.0,31.0,111.0,131.0,117.0,173.0,107.0,180.0,59.0,79.0,6.0,408.0,663.0,38.0,30.0,158.0,14.0,27.0,1800.0,https://afltables.com/afl/stats/games/2022/011420220416.html,2022
Melbourne,1,120,53,646.0,277.0,542.0,1188.0,45.0,23.0,102.0,167.0,128.0,167.0,105.0,174.0,60.0,64.0,12.0,436.0,750.0,29.0,30.0,143.0,11.0,32.0,1800.0,https://afltables.com/afl/stats/games/2022/112120220416.html,2022
Greater Western Sydney,0,53,120,614.0,251.0,562.0,1176.0,33.0,28.0,102.0,175.0,118.0,163.0,114.0,174.0,66.0,56.0,6.0,440.0,738.0,22.0,21.0,181.0,10.0,22.0,1800.0,https://afltables.com/afl/stats/games/2022/112120220416.html,2022
Carlton,1,94,91,643.0,263.0,521.0,1164.0,41.0,33.0,100.0,150.0,104.0,147.0,109.0,170.0,63.0,66.0,12.0,410.0,746.0,27.0,34.0,160.0,27.0,27.0,1800.0,https://afltables.com/afl/stats/games/2022/031320220417.html,2022
Port Adelaide,0,91,94,680.0,313.0,436.0,1116.0,40.0,36.0,86.0,153.0,106.0,144.0,104.0,154.0,66.0,63.0,6.0,385.0,733.0,24.0,38.0,158.0,21.0,27.0,1800.0,https://afltables.com/afl/stats/games/2022/031320220417.html,2022
Essendon,1,59,107,608.0,277.0,514.0,1122.0,32.0,33.0,109.0,123.0,104.0,135.0,102.0,199.0,64.0,65.0,6.0,368.0,747.0,22.0,30.0,123.0,28.0,27.0,1799.0,https://afltables.com/afl/stats/games/2022/050820220417.html,2022
Fremantle,0,107,59,643.0,296.0,515.0,1158.0,40.0,33.0,101.0,135.0,97.0,147.0,114.0,215.0,65.0,64.0,12.0,385.0,762.0,26.0,36.0,117.0,29.0,33.0,1799.0,https://afltables.com/afl/stats/games/2022/050820220417.html,2022
Hawthorn,1,92,80,660.0,262.0,443.0,1103.0,39.0,30.0,99.0,171.0,115.0,148.0,108.0,213.0,68.0,61.0,11.0,430.0,650.0,20.0,28.0,151.0,13.0,24.0,1801.0,https://afltables.com/afl/stats/games/2022/091020220418.html,2022
Geelong,0,80,92,636.0,260.0,442.0,1078.0,36.0,36.0,120.0,183.0,107.0,155.0,108.0,216.0,61.0,68.0,7.0,404.0,649.0,25.0,41.0,167.0,14.0,24.0,1800.0,https://afltables.com/afl/stats/games/2022/091020220418.html,2022
Greater Western Sydney,1,60,77,621.0,230.0,407.0,1028.0,26.0,41.0,173.0,232.0,133.0,157.0,128.0,191.0,73.0,68.0,7.0,452.0,569.0,34.0,25.0,166.0,5.0,9.0,1802.0,https://afltables.com/afl/stats/games/2022/152120220422.html,2022
St Kilda,0,77,60,633.0,250.0,373.0,1006.0,28.0,46.0,115.0,236.0,128.0,164.0,118.0,193.0,68.0,73.0,11.0,433.0,583.0,32.0,32.0,170.0,7.0,12.0,1798.0,https://afltables.com/afl/stats/games/2022/152120220422.html,2022
